Foreign State,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Type
Cook Islands,0,0,0,0,0,0,0,0,0,0,Diversity Immigrants
Costa Rica,3,1,17,11,1,18,25,6,10,12,Diversity Immigrants
Cote d'Ivoire,191,206,222,290,152,319,371,375,508,440,Diversity Immigrants
Croatia,15,33,25,17,29,18,40,29,21,21,Diversity Immigrants
Cuba,256,190,140,230,70,193,301,473,536,383,Diversity Immigrants
Curacao,,,,1,2,4,0,0,0,0,Diversity Immigrants
Cyprus,5,8,6,2,2,2,7,7,8,8,Diversity Immigrants
Czech Republic,73,33,37,27,17,24,36,36,27,19,Diversity Immigrants
Denmark,17,5,23,12,13,18,14,16,8,20,Diversity Immigrants
Djibouti,15,11,9,18,8,18,13,18,33,32,Diversity Immigrants
Dominica,2,18,15,5,8,11,6,0,4,3,Diversity Immigrants
Dominican Republic,0,0,0,0,0,0,0,0,0,0,Diversity Immigrants
Ecuador,89,0,0,0,0,0,0,0,0,0,Diversity Immigrants
Egypt,3279,3638,3231,3242,2004,3362,3483,3434,2848,3576,Diversity Immigrants
El Salvador,0,0,0,0,0,0,0,0,0,0,Diversity Immigrants
Equatorial Guinea,1,0,2,0,0,0,0,0,0,0,Diversity Immigrants
Eritrea,301,382,367,381,142,242,172,185,149,81,Diversity Immigrants
Estonia,18,10,10,19,8,20,17,21,10,12,Diversity Immigrants
Ethiopia,3542,3675,3752,3529,1416,2389,2539,2457,2138,2553,Diversity Immigrants
Falkland Islands,0,0,0,0,0,0,0,0,0,0,Diversity Immigrants
Faroe Islands,,,,0,0,0,0,0,0,0,Diversity Immigrants
Fiji,309,290,232,166,167,249,217,185,129,212,Diversity Immigrants
Finland,8,22,32,34,30,25,16,26,20,23,Diversity Immigrants
France,262,194,237,223,142,157,279,273,165,219,Diversity Immigrants
French Guiana,0,0,0,0,,,,,,,Diversity Immigrants
French Polynesia,0,0,0,0,1,1,0,0,0,0,Diversity Immigrants
French Southern and Antarctic Lands,0,0,0,0,0,0,0,0,0,0,Diversity Immigrants
Gabon,14,3,5,6,8,6,17,11,8,11,Diversity Immigrants
"Gambia, The",6,25,14,13,10,11,6,12,6,14,Diversity Immigrants
Georgia,270,354,438,453,293,408,341,503,360,547,Diversity Immigrants
Germany,752,854,882,804,546,541,463,486,265,263,Diversity Immigrants
Ghana,1822,1864,2606,2438,1677,1876,1454,523,428,796,Diversity Immigrants
Gibraltar,0,0,0,0,0,0,0,0,0,0,Diversity Immigrants
Great Britain and Northern Ireland,0,0,0,0,0,0,0,0,0,0,Diversity Immigrants
Greece,75,72,41,39,28,49,74,88,50,90,Diversity Immigrants
Greenland,0,0,0,0,0,0,0,0,0,0,Diversity Immigrants
Grenada,0,0,2,2,6,1,5,2,1,6,Diversity Immigrants
Guadeloupe,2,0,0,0,,,,,,,Diversity Immigrants
Guatemala,16,0,0,0,0,0,44,20,9,13,Diversity Immigrants
Guinea,107,86,268,185,113,257,264,259,293,204,Diversity Immigrants
Guinea-Bissau,0,0,0,1,0,4,0,1,0,1,Diversity Immigrants
Guyana,4,17,26,23,7,14,6,13,3,2,Diversity Immigrants
Haiti,0,0,0,0,0,0,0,0,0,0,Diversity Immigrants
Honduras,14,8,19,26,20,20,36,31,24,26,Diversity Immigrants
Hong Kong S.A.R.,44,23,16,20,8,35,34,30,51,16,Diversity Immigrants
Hungary,74,119,61,118,73,106,99,110,75,70,Diversity Immigrants
Iceland,4,9,30,11,11,13,10,11,0,9,Diversity Immigrants
India,0,0,0,0,0,0,0,0,0,0,Diversity Immigrants
Indonesia,128,101,103,66,85,55,64,33,39,37,Diversity Immigrants
Iran,827,1103,1842,1980,2385,3741,2326,2627,2722,2070,Diversity Immigrants
Iraq,86,48,37,57,36,65,48,23,146,145,Diversity Immigrants
Ireland,44,37,54,76,66,48,35,43,29,23,Diversity Immigrants
Israel,38,38,25,28,33,49,38,11,31,32,Diversity Immigrants
Italy,103,136,135,144,169,133,245,240,159,209,Diversity Immigrants
Jamaica,0,0,0,0,0,0,0,0,0,0,Diversity Immigrants
Japan,259,194,169,145,168,230,228,109,163,110,Diversity Immigrants
Jordan,24,90,70,84,55,122,173,62,163,93,Diversity Immigrants
Kazakhstan,166,185,189,224,229,309,311,448,236,446,Diversity Immigrants
Kenya,2123,2301,2367,1856,711,1224,1196,888,1092,1006,Diversity Immigrants
Kiribati,2,2,0,0,2,0,0,0,3,0,Diversity Immigrants
"Korea, North",0,0,0,0,0,0,0,0,0,0,Diversity Immigrants
"Korea, South",0,0,0,0,0,0,0,0,0,0,Diversity Immigrants
Kosovo,2,50,89,80,71,126,93,145,164,316,Diversity Immigrants
Kuwait,22,9,29,21,27,66,55,24,56,45,Diversity Immigrants
Kyrgyzstan,129,120,129,142,173,183,229,271,130,220,Diversity Immigrants
Laos,0,1,3,0,0,0,0,0,0,0,Diversity Immigrants
Latvia,16,39,35,68,22,54,52,30,31,22,Diversity Immigrants
Lebanon,75,81,43,52,93,84,54,52,71,40,Diversity Immigrants
Lesotho,0,0,1,0,4,0,3,0,0,0,Diversity Immigrants
Liberia,567,814,841,996,783,1230,1752,1740,1550,994,Diversity Immigrants
Libya,20,55,52,31,32,61,26,36,99,90,Diversity Immigrants
Liechtenstein,0,0,0,1,0,0,0,0,0,0,Diversity Immigrants
Lithuania,114,95,119,161,125,139,149,162,90,94,Diversity Immigrants
Luxembourg,3,0,0,1,2,2,0,0,0,2,Diversity Immigrants
Macau,10,1,7,1,3,4,3,15,7,1,Diversity Immigrants
Macedonia,213,203,148,175,68,144,177,258,206,233,Diversity Immigrants
Madagascar,11,27,15,12,2,13,17,9,29,2,Diversity Immigrants
Malawi,16,10,14,10,1,15,6,9,0,8,Diversity Immigrants
Malaysia,35,27,37,39,24,15,35,13,41,25,Diversity Immigrants
Maldives,0,0,0,0,0,0,0,0,0,0,Diversity Immigrants
Mali,22,39,32,18,17,27,18,22,39,15,Diversity Immigrants
Malta,0,0,4,0,0,0,0,0,0,0,Diversity Immigrants
Marshall Islands,0,0,0,0,0,0,0,0,0,0,Diversity Immigrants
Martinique,3,1,0,0,,,,,,,Diversity Immigrants
Mauritania,3,8,2,11,3,7,0,6,6,12,Diversity Immigrants
Mauritius,18,19,20,24,5,4,6,11,7,2,Diversity Immigrants
Mayotte,,,,0,0,0,,,,,Diversity Immigrants
Mexico,0,0,0,0,0,0,0,0,0,0,Diversity Immigrants
"Micronesia, Federated States of",0,0,0,0,0,0,0,0,0,0,Diversity Immigrants
Moldova,270,264,370,563,674,889,1203,1561,1187,1359,Diversity Immigrants
Monaco,1,0,0,0,0,0,4,0,0,0,Diversity Immigrants
Mongolia,195,119,103,203,86,111,78,53,155,90,Diversity Immigrants
Montenegro,8,3,10,2,5,11,10,6,6,13,Diversity Immigrants
Montserrat,0,0,0,0,0,0,0,0,0,0,Diversity Immigrants
Morocco,2115,1991,1763,982,368,889,853,904,1110,1077,Diversity Immigrants
Mozambique,0,1,3,0,2,0,5,1,0,3,Diversity Immigrants
Namibia,0,10,0,3,2,7,0,6,3,5,Diversity Immigrants
Nauru,0,0,0,6,0,0,0,0,0,0,Diversity Immigrants
Nepal,2040,1592,1902,1970,1896,3316,3437,3332,3210,3451,Diversity Immigrants
Netherlands,62,86,60,41,41,30,62,43,30,28,Diversity Immigrants
Netherlands Antilles,0,12,0,0,,,,,,,Diversity Immigrants
New Caledonia,0,0,0,0,0,0,1,0,0,0,Diversity Immigrants
New Zealand,103,66,70,81,70,109,114,124,52,121,Diversity Immigrants
Nicaragua,14,19,16,22,7,28,2,4,4,3,Diversity Immigrants
Niger,39,17,19,19,2,18,13,14,13,6,Diversity Immigrants
Nigeria,3393,3240,2809,2787,1850,3252,2442,0,0,0,Diversity Immigrants
Niue,0,0,0,0,0,0,0,0,0,0,Diversity Immigrants
Norfolk Island,,,,0,0,0,0,5,0,0,Diversity Immigrants
Northern Ireland (DV only),1,13,10,15,13,11,16,15,6,4,Diversity Immigrants
Norway,9,10,12,11,4,15,0,1,3,8,Diversity Immigrants
Oman,5,1,2,0,2,1,2,1,4,6,Diversity Immigrants
Pakistan,0,0,0,0,0,0,0,0,0,0,Diversity Immigrants
Palau,0,0,0,0,0,0,0,0,0,0,Diversity Immigrants
Panama,5,6,15,5,7,4,6,5,1,0,Diversity Immigrants
Papua New Guinea,2,12,7,1,0,7,1,1,0,1,Diversity Immigrants
Paraguay,3,1,16,4,5,4,1,2,2,2,Diversity Immigrants
Peru,0,0,0,0,0,0,0,0,0,0,Diversity Immigrants
Philippines,0,0,0,0,0,0,0,0,0,0,Diversity Immigrants
Pitcairn,0,0,0,0,0,0,0,0,0,0,Diversity Immigrants
Poland,0,0,0,0,0,752,455,368,305,282,Diversity Immigrants
Portugal,10,11,8,9,12,15,21,20,9,13,Diversity Immigrants
Qatar,1,0,0,0,3,14,14,14,14,9,Diversity Immigrants
Reunion,0,1,0,0,,,,,,,Diversity Immigrants
Romania,815,310,320,433,555,407,486,502,325,304,Diversity Immigrants
Russia,0,0,1004,1443,1014,1601,1837,1949,1327,1731,Diversity Immigrants
Rwanda,43,31,64,63,41,155,138,198,240,158,Diversity Immigrants
Saint Kitts and Nevis,0,2,1,0,2,4,0,1,0,0,Diversity Immigrants
Saint Lucia,2,4,5,6,1,8,11,4,0,10,Diversity Immigrants
Saint Martin,,,,0,0,0,0,0,0,0,Diversity Immigrants
Saint Vincent and the Grenadines,0,1,5,2,1,9,5,3,0,0,Diversity Immigrants
Samoa,9,2,5,3,2,0,0,0,0,0,Diversity Immigrants
San Marino,0,0,0,0,0,0,0,0,0,0,Diversity Immigrants
Sao Tome and Principe,0,0,0,0,0,0,0,0,0,0,Diversity Immigrants
Saudi Arabia,21,34,27,39,52,81,104,88,123,103,Diversity Immigrants
Senegal,94,158,123,126,48,88,108,98,136,98,Diversity Immigrants
Serbia,323,196,152,149,114,159,197,210,210,306,Diversity Immigrants
Seychelles,0,3,0,0,1,0,0,0,0,0,Diversity Immigrants
Sierra Leone,430,543,307,315,283,719,447,354,381,340,Diversity Immigrants
Singapore,18,12,8,11,9,5,23,1,10,9,Diversity Immigrants
Sint Maarten,,,,0,0,0,0,1,0,0,Diversity Immigrants
Slovakia,62,41,38,33,14,25,32,41,25,28,Diversity Immigrants
Slovenia,4,6,4,2,2,4,0,4,4,9,Diversity Immigrants
Solomon Islands,0,0,0,0,0,0,0,0,0,0,Diversity Immigrants
Somalia,40,70,71,52,28,78,46,59,104,56,Diversity Immigrants
South Africa,210,277,278,266,211,285,211,178,162,209,Diversity Immigrants
South Georgia and the South Sandwich Islands,,,,0,0,0,0,0,0,0,Diversity Immigrants
South Sudan,,,,0,0,0,0,1,10,6,Diversity Immigrants
Spain,47,65,73,72,57,80,158,160,65,84,Diversity Immigrants
Sri Lanka,445,530,419,317,192,287,278,191,302,154,Diversity Immigrants
St. Barthelemy,,,,0,0,0,0,0,0,0,Diversity Immigrants
St. Helena,0,0,0,0,0,0,0,0,0,0,Diversity Immigrants
St. Pierre and Miquelon,0,0,0,0,0,0,0,0,0,0,Diversity Immigrants
Sudan,495,585,553,565,304,435,959,1176,1830,1171,Diversity Immigrants
Suriname,2,1,0,0,1,3,4,2,2,0,Diversity Immigrants
Svalbard,,,,0,0,0,0,0,0,0,Diversity Immigrants
Swaziland,0,1,0,1,0,0,0,0,4,0,Diversity Immigrants
Sweden,47,43,43,28,51,52,30,40,46,51,Diversity Immigrants
Switzerland,63,88,66,63,43,37,58,50,22,32,Diversity Immigrants
Syria,38,53,32,63,72,87,135,127,154,124,Diversity Immigrants
Tajikistan,66,73,110,169,141,200,239,333,231,413,Diversity Immigrants
Tanzania,63,128,56,66,51,45,28,56,28,43,Diversity Immigrants
Thailand,37,43,23,28,17,21,16,18,26,17,Diversity Immigrants
Timor-Leste,0,1,0,0,0,0,0,0,0,0,Diversity Immigrants
Togo,464,476,505,524,279,511,564,545,685,504,Diversity Immigrants
Tokelau,,,,0,0,0,0,0,0,0,Diversity Immigrants
Tonga,26,27,20,9,1,11,1,15,1,24,Diversity Immigrants
Trinidad and Tobago,46,69,91,43,37,43,57,46,20,14,Diversity Immigrants
Tunisia,37,47,62,40,22,40,37,37,97,60,Diversity Immigrants
Turkey,902,931,973,863,792,619,988,1164,737,1303,Diversity Immigrants
Turkmenistan,77,56,63,81,65,64,103,91,71,92,Diversity Immigrants
Turks and Caicos Islands,0,0,0,0,0,0,0,0,0,0,Diversity Immigrants
Tuvalu,0,0,0,0,0,0,0,0,0,0,Diversity Immigrants
Uganda,141,165,143,200,104,198,167,164,158,91,Diversity Immigrants
Ukraine,1880,1685,1772,1637,1421,1800,1759,1278,1762,2016,Diversity Immigrants
United Arab Emirates,3,11,4,19,38,36,36,40,27,31,Diversity Immigrants
Uruguay,6,7,5,1,3,1,9,5,8,7,Diversity Immigrants
Uzbekistan,2243,2365,3324,3579,3205,3371,3019,2520,2366,3195,Diversity Immigrants
Vanuatu,0,0,0,0,0,0,0,0,1,0,Diversity Immigrants
Vatican City,0,0,0,0,0,0,0,0,0,0,Diversity Immigrants
Venezuela,121,227,339,406,410,503,749,672,639,1177,Diversity Immigrants
Vietnam,0,0,0,0,0,0,0,0,0,0,Diversity Immigrants
Wallis and Futuna,0,0,0,0,0,0,0,0,0,0,Diversity Immigrants
Western Sahara,0,0,0,0,0,0,0,0,0,0,Diversity Immigrants
Yemen,22,49,33,40,64,194,200,171,396,264,Diversity Immigrants
Zambia,55,28,38,43,13,34,12,30,18,15,Diversity Immigrants
Zimbabwe,44,79,53,72,37,60,24,43,79,43,Diversity Immigrants
